feature,category,xgboost_importance_mean,xgboost_importance_std,rank_xgboost_importance,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
mean_7th_delta_delta,Delta / Delta-delta,0.002783075,0.002709184,121.0,0.00028836440199808374,252,0,False,False
std_11th_delta_delta,Delta / Delta-delta,0.0027464319,0.003848693,122.0,0.0039336276621706155,250,0,False,False
tqwt_entropy_shannon_dec_32,TQWT,0.0027312313,0.0030721668,123.0,24.998693205945607,252,0,False,False
std_MFCC_7th_coef,MFCC,0.0026872042,0.002998819,124.0,0.07997889892321729,252,0,False,False
tqwt_TKEO_mean_dec_26,TQWT,0.0026807208,0.005994274,125.0,0.5515335528348231,252,0,False,False
tqwt_TKEO_mean_dec_16,TQWT,0.0026087333,0.005833305,126.0,0.08585792630812342,252,0,False,False
tqwt_TKEO_mean_dec_21,TQWT,0.0026051863,0.0025528555,127.0,0.11634433920601023,252,0,False,False
std_MFCC_2nd_coef,MFCC,0.002602129,0.0030089826,128.0,0.14843791403127055,251,0,False,False
tqwt_medianValue_dec_28,TQWT,0.002538921,0.0040648505,129.0,0.007240455589357275,252,0,False,False
tqwt_medianValue_dec_26,TQWT,0.0024747811,0.0025448513,130.0,0.0017420856701271903,250,0,False,False
std_MFCC_8th_coef,MFCC,0.0024715306,0.0038323055,131.0,0.07004229749779552,252,0,False,False
det_LT_TKEO_std_1_coef,Wavelet,0.0024607442,0.0035498,132.0,0.03414301503620919,250,0,False,False
tqwt_meanValue_dec_9,TQWT,0.002457645,0.0047226925,133.0,2.1314369291564682e-20,251,0,False,True
tqwt_entropy_shannon_dec_3,TQWT,0.002436214,0.003543871,134.0,18.22263242020154,252,0,False,False
tqwt_meanValue_dec_20,TQWT,0.002377365,0.0035000334,135.0,2.2550174089158895e-19,252,0,False,True
tqwt_skewnessValue_dec_9,TQWT,0.0023696232,0.0025965367,136.0,0.07108983680304838,252,0,False,False
std_5th_delta,Delta / Delta-delta,0.0023691624,0.0022038675,137.0,0.01534071838788841,252,0,False,False
det_LT_entropy_shannon_9_coef,Wavelet,0.002362073,0.0022172842,138.0,2.6445570651120374,252,0,False,False
tqwt_energy_dec_35,TQWT,0.0023517716,0.005258721,139.0,0.0013412582610363216,251,0,False,False
tqwt_entropy_shannon_dec_16,TQWT,0.0023340255,0.00521904,140.0,504.9913671327967,252,0,False,False
tqwt_kurtosisValue_dec_15,TQWT,0.002329725,0.0033598365,141.0,1.5914599548846664,251,0,False,False
mean_3rd_delta_delta,Delta / Delta-delta,0.0023199432,0.0025470345,142.0,0.00029993153157647395,252,0,False,False
tqwt_medianValue_dec_29,TQWT,0.0022968915,0.0019297604,143.0,0.0035881554950552945,252,0,False,False
tqwt_energy_dec_5,TQWT,0.00228776,0.0031182356,144.0,0.004019812151492711,252,0,False,False
locAbsJitter,Jitter,0.0022768227,0.004120082,145.0,2.070737785457488e-05,244,0,False,False
tqwt_medianValue_dec_32,TQWT,0.0022725973,0.0031966495,146.0,0.0012275319020599394,252,0,False,False
tqwt_entropy_shannon_dec_17,TQWT,0.002266136,0.005067234,147.0,475.37680090506956,252,0,False,False
app_LT_TKEO_mean_5_coef,Wavelet,0.002239791,0.003066961,148.0,8.904619618096758,252,0,False,False
tqwt_meanValue_dec_27,TQWT,0.0022363442,0.0050006174,149.0,1.6521278480075777e-18,250,0,False,True
b4,Formant / Bandwidth,0.0022301716,0.0030610552,150.0,417.1509956335488,252,0,False,False
mean_9th_delta,Delta / Delta-delta,0.0022104138,0.0046707583,151.0,0.001877781134981663,252,0,False,False
VFER_SNR_SEO,Other,0.0022070534,0.0030542833,152.0,231.88506807905472,252,0,False,False
tqwt_skewnessValue_dec_19,TQWT,0.0022002126,0.0021272725,153.0,0.017414387248792428,252,0,False,False
tqwt_medianValue_dec_33,TQWT,0.0021902137,0.0016167362,154.0,0.0011301066339528174,252,0,False,False
tqwt_medianValue_dec_25,TQWT,0.0021626889,0.0020846666,155.0,0.0025847932433931435,181,0,False,False
std_5th_delta_delta,Delta / Delta-delta,0.002142451,0.0030785655,156.0,0.007415900081372007,252,0,False,False
tqwt_entropy_shannon_dec_6,TQWT,0.0021297964,0.002977324,157.0,39.06103513593076,251,0,False,False
tqwt_entropy_log_dec_18,TQWT,0.002125221,0.004752139,158.0,11018.302519649656,252,0,False,False
tqwt_medianValue_dec_5,TQWT,0.0021095898,0.004717186,159.0,5.694648480784122e-06,179,0,False,False
Ed2_9_coef,Wavelet,0.0021038055,0.0047042524,160.0,0.0005800110412733313,251,0,False,False
mean_MFCC_7th_coef,MFCC,0.0020905193,0.0030053812,161.0,0.7733665997897692,252,0,False,False
tqwt_entropy_shannon_dec_11,TQWT,0.0020264746,0.004531335,162.0,71.19574580501374,252,0,False,False
tqwt_minValue_dec_4,TQWT,0.0020011214,0.0044746436,163.0,0.029630864508004777,252,0,False,False
tqwt_medianValue_dec_30,TQWT,0.0019776835,0.0027255819,164.0,0.0005991206559692032,252,0,False,False
mean_MFCC_6th_coef,MFCC,0.0019526776,0.0026810023,165.0,0.7931158759691571,252,0,False,False
app_entropy_shannon_2_coef,Wavelet,0.0019426753,0.0043439544,166.0,60723889.22619018,252,0,False,False
tqwt_entropy_shannon_dec_31,TQWT,0.0019425175,0.003919219,167.0,8.400345043325258,252,0,False,False
RPDE,Nonlinear,0.0019191827,0.0026860065,168.0,0.126949011671002,252,0,False,False
tqwt_stdValue_dec_32,TQWT,0.0019164182,0.0026925115,169.0,0.05342410890466964,252,0,False,False
std_4th_delta_delta,Delta / Delta-delta,0.0019082509,0.002622172,170.0,0.008523407440141632,252,0,False,False
tqwt_skewnessValue_dec_11,TQWT,0.0018977005,0.002604742,171.0,0.10805348853098264,252,0,False,False
det_LT_TKEO_mean_6_coef,Wavelet,0.001897119,0.004242087,172.0,0.14907803707654432,252,0,False,False
tqwt_entropy_log_dec_7,TQWT,0.0018785559,0.0042005787,173.0,99428.90493287287,252,0,False,False
