feature,category,tree_importance_mean,tree_importance_std,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
tqwt_maxValue_dec_28,TQWT,0.0009061135967168175,0.0001546298558776158,0.4188067134113114,252,0,False,False
mean_MFCC_8th_coef,MFCC,0.0009022814635944812,0.00016903030537613714,0.8057762858796013,252,0,False,False
app_det_TKEO_mean_1_coef,Other,0.0008943270606227178,0.00020998827978603962,1269.172406493931,252,0,False,False
tqwt_skewnessValue_dec_2,TQWT,0.0008931061367242513,0.00031789139768096774,2.0450879208562367,252,0,False,False
app_entropy_log_1_coef,Wavelet,0.000892621790738815,0.00019990691521122348,75.14350701975715,252,0,False,False
tqwt_entropy_log_dec_2,TQWT,0.0008906009804977669,0.00015063360295511762,257700.22615596975,252,0,False,False
tqwt_entropy_log_dec_22,TQWT,0.0008889424161577007,0.00030862618665899647,4511.929671522676,252,0,False,False
tqwt_minValue_dec_2,TQWT,0.0008867909006041446,0.00023507017030126987,0.018265484335051523,251,0,False,False
tqwt_medianValue_dec_28,TQWT,0.0008855828420141255,0.00017476575940738898,0.007240455589357275,252,0,False,False
tqwt_medianValue_dec_27,TQWT,0.000885304723733828,0.00026903899146914163,0.004395307432193136,252,0,False,False
tqwt_kurtosisValue_dec_9,TQWT,0.0008836991614394578,0.00016332223174354518,44.7735649453472,252,0,False,False
det_LT_TKEO_mean_4_coef,Wavelet,0.000881329050294773,0.000477707759811104,0.07659756431542677,252,0,False,False
ddaShimmer,Shimmer,0.0008807444115308578,0.0002044661718344751,0.05817878432096385,252,0,False,False
tqwt_energy_dec_31,TQWT,0.0008798890707539354,0.00016249356836561235,0.0027629258525653836,250,0,False,False
tqwt_kurtosisValue_dec_8,TQWT,0.0008758442497166002,0.00018994925113642082,45.391312087611695,252,0,False,False
tqwt_energy_dec_20,TQWT,0.0008755528814965252,0.0002582801166550779,0.041929183848730546,251,0,False,False
det_LT_TKEO_mean_6_coef,Wavelet,0.0008736581011358326,0.00020006372645858288,0.14907803707654432,252,0,False,False
tqwt_TKEO_std_dec_4,TQWT,0.0008730638638350409,0.0001706494534955633,0.00038552830400007435,249,0,False,False
det_LT_entropy_log_6_coef,Wavelet,0.0008723884208421262,0.0003931894035389406,29.37533784122763,252,0,False,False
tqwt_TKEO_std_dec_27,TQWT,0.0008723511658255857,0.00016873294896178453,0.2870442782399778,252,0,False,False
