dataset,dataset_display_name,feature_set,model,fold,summary,n_records,n_subjects,accuracy,balanced_accuracy,roc_auc,sensitivity,specificity,precision,recall,f1
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,3,fold,150,50,0.8533333333333334,0.7134502923976608,0.7928849902534113,0.9824561403508771,0.4444444444444444,0.8484848484848485,0.9824561403508771,0.9105691056910569
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,3,fold,150,50,0.8666666666666667,0.7317251461988303,0.8594054580896686,0.9912280701754386,0.4722222222222222,0.8560606060606061,0.9912280701754386,0.9186991869918699
dataset1,Dataset 1,acoustic_only,Logistic Regression,4,fold,152,51,0.8289473684210527,0.7674154753800772,0.8025867937372363,0.8938053097345132,0.6410256410256411,0.8782608695652174,0.8938053097345132,0.8859649122807017
dataset1,Dataset 1,acoustic_only,SVM-RBF,4,fold,152,51,0.8026315789473685,0.6993419559791241,0.7538007714998866,0.911504424778761,0.48717948717948717,0.8373983739837398,0.911504424778761,0.8728813559322034
dataset1,Dataset 1,acoustic_only,Random Forest,4,fold,152,51,0.8421052631578947,0.7258906285454958,0.8117767188563648,0.9646017699115044,0.48717948717948717,0.8449612403100775,0.9646017699115044,0.9008264462809917
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,4,fold,152,51,0.8223684210526315,0.7629906966190152,0.8046289993192649,0.8849557522123894,0.6410256410256411,0.8771929824561403,0.8849557522123894,0.8810572687224669
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,4,fold,152,51,0.8026315789473685,0.6993419559791241,0.754027683231223,0.911504424778761,0.48717948717948717,0.8373983739837398,0.911504424778761,0.8728813559322034
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,4,fold,152,51,0.8421052631578947,0.7258906285454958,0.8165418652144316,0.9646017699115044,0.48717948717948717,0.8449612403100775,0.9646017699115044,0.9008264462809917
dataset1,Dataset 1,acoustic_only,Logistic Regression,5,fold,150,50,0.7733333333333333,0.6638946638946639,0.8110418110418111,0.8918918918918919,0.4358974358974359,0.8181818181818182,0.8918918918918919,0.853448275862069
dataset1,Dataset 1,acoustic_only,SVM-RBF,5,fold,150,50,0.7733333333333333,0.6888426888426888,0.7640332640332641,0.8648648648648649,0.5128205128205128,0.8347826086956521,0.8648648648648649,0.8495575221238938
dataset1,Dataset 1,acoustic_only,Random Forest,5,fold,150,50,0.7133333333333334,0.5318780318780318,0.7986832986832988,0.9099099099099099,0.15384615384615385,0.753731343283582,0.9099099099099099,0.8244897959183674
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,5,fold,150,50,0.7733333333333333,0.6638946638946639,0.8119658119658119,0.8918918918918919,0.4358974358974359,0.8181818181818182,0.8918918918918919,0.853448275862069
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,5,fold,150,50,0.76,0.6715176715176715,0.7659967659967661,0.8558558558558559,0.48717948717948717,0.8260869565217391,0.8558558558558559,0.8407079646017699
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,5,fold,150,50,0.7333333333333333,0.5703395703395704,0.7948717948717948,0.9099099099099099,0.23076923076923078,0.7709923664122137,0.9099099099099099,0.8347107438016529
dataset2,Dataset 2,acoustic_only,Logistic Regression,1,fold,48,16,0.8333333333333334,0.8333333333333333,0.9253472222222222,0.9166666666666666,0.75,0.7857142857142857,0.9166666666666666,0.8461538461538461
dataset2,Dataset 2,acoustic_only,SVM-RBF,1,fold,48,16,0.8958333333333334,0.8958333333333333,0.9774305555555556,0.875,0.9166666666666666,0.9130434782608695,0.875,0.8936170212765957
dataset2,Dataset 2,acoustic_only,Random Forest,1,fold,48,16,0.8541666666666666,0.8541666666666666,0.9218749999999999,0.7916666666666666,0.9166666666666666,0.9047619047619048,0.7916666666666666,0.8444444444444444
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,1,fold,48,16,0.8125,0.8125,0.9340277777777778,0.7916666666666666,0.8333333333333334,0.8260869565217391,0.7916666666666666,0.8085106382978723
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,1,fold,48,16,0.9583333333333334,0.9583333333333334,0.986111111111111,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334
