feature,category,shap_mean_abs_mean,shap_mean_abs_std,rank_shap_mean_abs,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
Ed_7_coef,Wavelet,0.0,0.0,550.0,0.012496603836019499,252,0,False,False
Ed_6_coef,Wavelet,0.0,0.0,550.0,0.012991525361014854,251,0,False,False
tqwt_energy_dec_32,TQWT,0.0,0.0,550.0,0.004790647237772752,251,0,False,False
tqwt_energy_dec_31,TQWT,0.0,0.0,550.0,0.0027629258525653836,250,0,False,False
tqwt_energy_dec_29,TQWT,0.0,0.0,550.0,0.028067276410913056,252,0,False,False
tqwt_energy_dec_24,TQWT,0.0,0.0,550.0,0.08640103879984296,252,0,False,False
tqwt_energy_dec_23,TQWT,0.0,0.0,550.0,0.0582351339540457,252,0,False,False
tqwt_energy_dec_22,TQWT,0.0,0.0,550.0,0.04028932290832239,251,0,False,False
tqwt_energy_dec_18,TQWT,0.0,0.0,550.0,0.08370314679160336,252,0,False,False
det_entropy_shannon_9_coef,Wavelet,0.0,0.0,550.0,383806.14460988616,252,0,False,False
det_entropy_shannon_8_coef,Wavelet,0.0,0.0,550.0,3575285.1071688747,252,0,False,False
det_entropy_shannon_7_coef,Wavelet,0.0,0.0,550.0,865091.4138097117,252,0,False,False
tqwt_entropy_shannon_dec_15,TQWT,0.0,0.0,550.0,450.7331351833436,252,0,False,False
