feature_set,representation,method,k,candidate_id,n_subjects,n_features_original,n_components_after_transform,pca_explained_variance_sum,cluster_sizes,min_cluster_size,max_cluster_size,min_cluster_ratio,max_cluster_ratio,size_imbalance_ratio,smaller_cluster_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,stability_ari_std,stability_n_runs,eligible_for_recommendation,exclusion_or_warning,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,stability_ari_norm,balance_norm
pd_corr_reduced_all_095,pca_10,KMeans,6,pd_corr_reduced_all_095|pca_10|KMeans|k6,188,425,10,0.4529288559548293,0:62;1:11;2:40;3:1;4:24;5:50,1,62,0.005319148936170213,0.32978723404255317,62.0,0.005319148936170213,0.1608636299971221,32.30984060086623,1.3809482516968963,0.7715406591561649,0.104784296071863,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_095,pca_10,GaussianMixture,6,pd_corr_reduced_all_095|pca_10|GaussianMixture|k6,188,425,10,0.4529288559548293,0:17;1:31;2:8;3:1;4:73;5:58,1,73,0.005319148936170213,0.3882978723404255,73.0,0.005319148936170213,0.1479012547389881,25.88055875400196,1.6676952150031201,0.4986602181307827,0.1222392545212812,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_095,pca_10,AgglomerativeClustering,6,pd_corr_reduced_all_095|pca_10|AgglomerativeClustering|k6,188,425,10,0.4529288559548293,0:22;1:75;2:8;3:49;4:33;5:1,1,75,0.005319148936170213,0.39893617021276595,75.0,0.005319148936170213,0.1933158757772273,30.000372156616876,1.3494555750828725,0.599439315134041,0.11950872364546646,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_095,pca_20,KMeans,6,pd_corr_reduced_all_095|pca_20|KMeans|k6,188,425,20,0.5903866130096257,0:44;1:50;2:9;3:41;4:1;5:43,1,50,0.005319148936170213,0.26595744680851063,50.0,0.005319148936170213,0.11683083536158599,21.173273541399382,1.6654816381811584,0.7002876781524476,0.1440132792684279,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_095,pca_20,GaussianMixture,6,pd_corr_reduced_all_095|pca_20|GaussianMixture|k6,188,425,20,0.5903866130096257,0:64;1:33;2:22;3:37;4:1;5:31,1,64,0.005319148936170213,0.3404255319148936,64.0,0.005319148936170213,0.08563859849963677,18.78670027236748,2.075519897405339,0.47633157515370333,0.10850803651145154,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_095,pca_20,AgglomerativeClustering,6,pd_corr_reduced_all_095|pca_20|AgglomerativeClustering|k6,188,425,20,0.5903866130096257,0:14;1:82;2:9;3:57;4:25;5:1,1,82,0.005319148936170213,0.43617021276595747,82.0,0.005319148936170213,0.15334553393640946,20.279462111530986,1.5925861130074601,0.596789738761201,0.13770918968220258,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_095,pca_90,KMeans,6,pd_corr_reduced_all_095|pca_90|KMeans|k6,188,425,78,0.9000437511393565,0:52;1:41;2:10;3:55;4:1;5:29,1,55,0.005319148936170213,0.2925531914893617,55.0,0.005319148936170213,0.04524528997118863,11.8001609473798,2.320762336574892,0.6205026012747996,0.13044576792886617,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_095,pca_90,GaussianMixture,6,pd_corr_reduced_all_095|pca_90|GaussianMixture|k6,188,425,78,0.9000437511393565,0:21;1:26;2:1;3:17;4:80;5:43,1,80,0.005319148936170213,0.425531914893617,80.0,0.005319148936170213,0.0646887251940744,8.442034186880973,2.6756166500099465,0.2924772354540745,0.10016759237847253,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_095,pca_90,AgglomerativeClustering,6,pd_corr_reduced_all_095|pca_90|AgglomerativeClustering|k6,188,425,78,0.9000437511393565,0:2;1:31;2:77;3:53;4:16;5:9,2,77,0.010638297872340425,0.4095744680851064,38.5,0.010638297872340425,0.07372877040450425,11.118194384634005,2.446542886861779,0.5480765303734664,0.13244114562344966,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_top50_090,scaled_only,KMeans,6,pd_corr_reduced_top50_090|scaled_only|KMeans|k6,188,31,31,,0:27;1:18;2:39;3:38;4:57;5:9,9,57,0.047872340425531915,0.30319148936170215,6.333333333333333,0.047872340425531915,0.14225970017992368,26.980881169450697,1.848049252581651,0.6848811169727297,0.08880491782069108,50,False,min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
