dataset,dataset_display_name,feature_set,model,fold,summary,n_records,n_subjects,accuracy,balanced_accuracy,roc_auc,sensitivity,specificity,precision,recall,f1
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,1,fold,48,16,0.875,0.875,0.96875,0.875,0.875,0.875,0.875,0.875
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,1,fold,48,16,0.9375,0.9375,1.0,0.875,1.0,1.0,0.875,0.9333333333333333
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,1,fold,48,16,0.875,0.875,0.984375,0.75,1.0,1.0,0.75,0.8571428571428571
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),1,fold,48,16,0.875,0.875,0.96875,0.75,1.0,1.0,0.75,0.8571428571428571
dataset2,Dataset 2,acoustic_only,Logistic Regression,2,fold,48,16,0.9375,0.9375,0.921875,1.0,0.875,0.8888888888888888,1.0,0.9411764705882353
dataset2,Dataset 2,acoustic_only,SVM-RBF,2,fold,48,16,0.8125,0.8125,0.9375,0.75,0.875,0.8571428571428571,0.75,0.8
dataset2,Dataset 2,acoustic_only,Random Forest,2,fold,48,16,0.8125,0.8125,0.875,0.75,0.875,0.8571428571428571,0.75,0.8
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),2,fold,48,16,0.8125,0.8125,0.875,0.75,0.875,0.8571428571428571,0.75,0.8
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,2,fold,48,16,0.6875,0.6875,0.84375,0.5,0.875,0.8,0.5,0.6153846153846154
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,2,fold,48,16,0.8125,0.8125,0.875,0.75,0.875,0.8571428571428571,0.75,0.8
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,2,fold,48,16,0.75,0.75,0.890625,0.625,0.875,0.8333333333333334,0.625,0.7142857142857143
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),2,fold,48,16,0.75,0.75,0.875,0.625,0.875,0.8333333333333334,0.625,0.7142857142857143
dataset2,Dataset 2,acoustic_only,Logistic Regression,3,fold,48,16,0.6875,0.6875,0.828125,0.75,0.625,0.6666666666666666,0.75,0.7058823529411765
dataset2,Dataset 2,acoustic_only,SVM-RBF,3,fold,48,16,0.6875,0.6875,0.84375,0.625,0.75,0.7142857142857143,0.625,0.6666666666666666
dataset2,Dataset 2,acoustic_only,Random Forest,3,fold,48,16,0.6875,0.6875,0.828125,0.625,0.75,0.7142857142857143,0.625,0.6666666666666666
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),3,fold,48,16,0.6875,0.6875,0.8125,0.625,0.75,0.7142857142857143,0.625,0.6666666666666666
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,3,fold,48,16,0.75,0.75,0.859375,0.875,0.625,0.7,0.875,0.7777777777777778
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,3,fold,48,16,0.75,0.75,0.84375,0.75,0.75,0.75,0.75,0.75
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,3,fold,48,16,0.6875,0.6875,0.859375,0.625,0.75,0.7142857142857143,0.625,0.6666666666666666
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),3,fold,48,16,0.6875,0.6875,0.828125,0.625,0.75,0.7142857142857143,0.625,0.6666666666666666
dataset2,Dataset 2,acoustic_only,Logistic Regression,4,fold,48,16,0.6875,0.6875,0.828125,0.625,0.75,0.7142857142857143,0.625,0.6666666666666666
dataset2,Dataset 2,acoustic_only,SVM-RBF,4,fold,48,16,0.875,0.875,0.84375,0.875,0.875,0.875,0.875,0.875
dataset2,Dataset 2,acoustic_only,Random Forest,4,fold,48,16,0.75,0.75,0.8125,0.75,0.75,0.75,0.75,0.75
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),4,fold,48,16,0.75,0.75,0.796875,0.75,0.75,0.75,0.75,0.75
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,4,fold,48,16,0.8125,0.8125,0.859375,0.75,0.875,0.8571428571428571,0.75,0.8
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,4,fold,48,16,0.875,0.875,0.84375,0.875,0.875,0.875,0.875,0.875
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,4,fold,48,16,0.75,0.75,0.8125,0.75,0.75,0.75,0.75,0.75
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),4,fold,48,16,0.75,0.75,0.78125,0.75,0.75,0.75,0.75,0.75
dataset2,Dataset 2,acoustic_only,Logistic Regression,5,fold,48,16,0.75,0.75,0.84375,0.75,0.75,0.75,0.75,0.75
dataset2,Dataset 2,acoustic_only,SVM-RBF,5,fold,48,16,0.875,0.875,0.828125,0.875,0.875,0.875,0.875,0.875
dataset2,Dataset 2,acoustic_only,Random Forest,5,fold,48,16,0.8125,0.8125,0.84375,0.75,0.875,0.8571428571428571,0.75,0.8
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),5,fold,48,16,0.8125,0.8125,0.84375,0.75,0.875,0.8571428571428571,0.75,0.8
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,5,fold,48,16,0.75,0.75,0.8125,0.75,0.75,0.75,0.75,0.75
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,5,fold,48,16,0.8125,0.8125,0.828125,0.75,0.875,0.8571428571428571,0.75,0.8
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,5,fold,48,16,0.8125,0.8125,0.84375,0.75,0.875,0.8571428571428571,0.75,0.8
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),5,fold,48,16,0.875,0.875,0.84375,0.75,1.0,1.0,0.75,0.8571428571428571
dataset1,Dataset 1,acoustic_only,Logistic Regression,,mean,,,0.7893333333333334,0.698944085786191,0.8352755589597696,0.8825035561877668,0.5153846153846154,0.8419964335817994,0.8825035561877668,0.8616445585133127
