candidate_id,feature_set,representation,method,k,n_features_original,n_components_after_transform,cluster_sizes,min_cluster_size,min_cluster_ratio,smaller_cluster_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,stability_ari_norm,balance_norm,top1_count,top1_frequency,top3_count,top3_frequency
all_acoustic|pca_20|AgglomerativeClustering|k2,all_acoustic,pca_20,AgglomerativeClustering,2,752,20,0:105;1:83,83,0.44148936170212766,0.44148936170212766,0.15047845444891195,27.184804698644058,2.270123723014436,0.6977623831552806,0.22283017121871826,0.16412951993417857,0.4817838231017846,0.6868393717876985,0.8829787234042553,0,0.0,0,0.0
pd_high_iqr_top100|pca_20|AgglomerativeClustering|k2,pd_high_iqr_top100,pca_20,AgglomerativeClustering,2,100,20,0:162;1:26,26,0.13829787234042554,0.13829787234042554,0.33752328297278156,53.866140246597936,1.1461575362964922,0.6915373252386671,0.7095797976445126,0.42266237871890283,0.9072389410979258,0.6801619399947744,0.2765957446808511,0,0.0,0,0.0
top50_biomarkers|pca_10|AgglomerativeClustering|k2,top50_biomarkers,pca_10,AgglomerativeClustering,2,50,10,0:138;1:50,50,0.26595744680851063,0.26595744680851063,0.2611547587424284,57.87190151251811,1.3176953913973946,0.6893184507628399,0.5108448155914274,0.46147681174554633,0.8423066866892138,0.6777818202966341,0.5319148936170213,0,0.0,0,0.0
pd_high_mad_top100|pca_20|GaussianMixture|k2,pd_high_mad_top100,pca_20,GaussianMixture,2,100,20,0:132;1:56,56,0.2978723404255319,0.2978723404255319,0.2687628040515746,65.23841903567559,1.4105680452024612,0.6885602615254048,0.530643348602378,0.5328558036677,0.8071515847384777,0.6769685335791579,0.5957446808510638,0,0.0,0,0.0
pd_high_iqr_top100|pca_10|AgglomerativeClustering|k2,pd_high_iqr_top100,pca_10,AgglomerativeClustering,2,100,10,0:162;1:26,26,0.13829787234042554,0.13829787234042554,0.3548060409075315,57.68562281910104,1.0980933879560018,0.6820567436813508,0.7545549837254976,0.4596718360143562,0.9254326716080047,0.6699924062242882,0.2765957446808511,0,0.0,0,0.0
pd_sparse_pca_10|sparse_pca_10|KMeans|k2,pd_sparse_pca_10,sparse_pca_10,KMeans,2,752,10,0:95;1:93,93,0.4946808510638298,0.4946808510638298,0.1846184913792846,34.10318006302716,1.9917561205814438,0.6745561655305446,0.3116733130107997,0.23116617025046818,0.5871543605245017,0.661946762363556,0.9893617021276596,0,0.0,0,0.0
pd_corr_reduced_top50_090|scaled_only|GaussianMixture|k2,pd_corr_reduced_top50_090,scaled_only,GaussianMixture,2,31,31,0:99;1:89,89,0.4734042553191489,0.4734042553191489,0.1749395333275838,42.939350573537425,1.9352841921213955,0.6744270686566484,0.28648561200331063,0.31678558831466935,0.6085306895194137,0.6618082840422825,0.9468085106382979,0,0.0,0,0.0
pd_sparse_pca_20|sparse_pca_20|KMeans|k2,pd_sparse_pca_20,sparse_pca_20,KMeans,2,752,20,0:87;1:101,87,0.4627659574468085,0.4627659574468085,0.13843282139519983,26.311162080060694,2.3391062478755917,0.6678070677740747,0.19148363555008657,0.15566422690817597,0.4556718558546421,0.6547072088467396,0.925531914893617,0,0.0,0,0.0
pd_high_mad_top50|pca_10|GaussianMixture|k2,pd_high_mad_top50,pca_10,GaussianMixture,2,50,10,0:149;1:39,39,0.2074468085106383,0.2074468085106383,0.4006523733260673,105.90084720721997,0.9733645550025987,0.6673503190527272,0.8738615978341432,0.9268605858280164,0.9726462986448365,0.6542172682752369,0.4148936170212766,0,0.0,0,0.0
all_acoustic|pca_90|AgglomerativeClustering|k2,all_acoustic,pca_90,AgglomerativeClustering,2,752,63,0:98;1:90,90,0.4787234042553192,0.4787234042553192,0.10640889538973558,19.27444662527525,2.7808791114233373,0.6565566667985788,0.10814728167779655,0.08748090228746208,0.28844749625265176,0.6426392431887128,0.9574468085106383,0,0.0,0,0.0
pd_corr_reduced_all_095|pca_90|AgglomerativeClustering|k2,pd_corr_reduced_all_095,pca_90,AgglomerativeClustering,2,425,78,0:88;1:100,88,0.46808510638297873,0.46808510638297873,0.07847018310474282,15.630672276673048,3.1723533219526923,0.645258991810813,0.035441942135075497,0.05217399655114799,0.14026269460878404,0.6305205681241649,0.9361702127659575,0,0.0,0,0.0
pd_corr_reduced_top50_090|pca_5|GaussianMixture|k2,pd_corr_reduced_top50_090,pca_5,GaussianMixture,2,31,5,0:106;1:82,82,0.43617021276595747,0.43617021276595747,0.265247194912631,64.13768572144672,1.5108661748182413,0.6131903017434961,0.5214946250127198,0.5221900808077737,0.7691857161254013,0.596121451926155,0.8723404255319149,0,0.0,0,0.0
pd_high_iqr_top50|pca_5|GaussianMixture|k2,pd_high_iqr_top50,pca_5,GaussianMixture,2,50,5,0:151;1:37,37,0.19680851063829788,0.19680851063829788,0.20066976584717713,10.883986008265532,3.1554423900680657,0.6115797335291586,0.35344379077574656,0.006180258024828273,0.14666399262416996,0.594393843999747,0.39361702127659576,0,0.0,0,0.0
