run,weight_silhouette,weight_calinski_harabasz,weight_davies_bouldin,weight_stability_ari,weight_balance,top1_candidate_id,top1_feature_set,top1_representation,top1_method,top1_score
4876,0.1787175004576942,0.09531379985604128,0.6163373987734021,0.003851098002615399,0.10578020291024696,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.9342562300818145
4877,0.22387522925175576,0.0827293268046219,0.49410549065049225,0.185449718226215,0.013840235066914853,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.806452271894207
4878,0.03985022720368227,0.0006906181222592093,0.660656393181288,0.276022247736307,0.022780513756463616,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7106487282572517
4879,0.24950679542885856,0.2183151410025949,0.3194768750340352,0.04206206625537549,0.17063912227913589,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8580958941132152
4880,0.34267539984667583,0.3799702991755058,0.10386017223153438,0.12600269085653337,0.04749143788975053,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.846209765697336
4881,0.00013212125974584846,0.18021941564849941,0.46796934226804665,0.018615319041914657,0.3330638017817933,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7865069245963976
4882,0.4362112697949616,0.11398148688232146,0.2096545950783743,0.08525618228981714,0.1548964659545255,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8241129067793436
4883,0.13088417082025267,0.1856334884919773,0.05889900938159089,0.48171962027116433,0.14286371103501497,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.5455523422229795
4884,0.04942802756496453,0.36525375496484624,0.05148358358541423,0.07974008944826932,0.45409454443650554,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6545662941261157
4885,0.3287962155975474,0.1424145824267134,0.2902761863247589,0.13441084477300896,0.1041021708779714,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8046783105643484
4886,0.10233403597472258,0.03322623272357262,0.6655656949462379,0.06549768293055068,0.13337635342491624,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8564629613421046
4887,0.15445502044510453,0.31852840702918767,0.19641381934233773,0.23916454055368477,0.0914382126296853,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7073343775885207
4888,0.255492610426766,0.15972567666316997,0.0760837840181044,0.05592424402829816,0.4527736848636615,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6791549829131766
4889,0.007601930178786803,0.1300729380559944,0.24079843901731526,0.2957411772343367,0.3257855155135669,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.5136396381566615
4890,0.053894656524531764,0.5062337263670278,0.2114314600469867,0.15216025972430888,0.07627989733714484,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8032078854507658
4891,0.08293396529789264,0.08512703348857412,0.37004384627374975,0.005078580018224375,0.45681657492155914,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7276351261446932
4892,0.15002786519236863,0.011366558945067795,0.1524329022048734,0.15652282144249313,0.5296498522151969,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.5335756692826574
4893,0.08410198791840956,0.031510929450740105,0.05444195665118657,0.43600009916216237,0.3939450268175013,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.6120180898678544
4894,0.19136949737644693,0.29310620345246613,0.06518768983076077,0.23469453353175257,0.21564207580857356,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6391319114738693
4895,0.3902850415636855,0.15561970225760677,0.08296917086598005,0.20193666242656225,0.1691894228861656,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.699069526310256
4896,0.29325605732521015,0.2705419337815446,0.15288194500021082,0.24792057485352273,0.035399489039511775,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7313669581552736
4897,0.5989821957257158,0.038233273667169984,0.0025442252847536696,0.21344271634595186,0.14679758897640882,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7006650773380643
4898,0.413415290725066,0.15287219042254382,0.07241017627766937,0.09167113128876044,0.2696312112859604,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7505659259375393
4899,0.06119502135094658,0.11835070037926967,0.16077760796882032,0.3368607946136561,0.32281587568730724,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.48109767523989977
4900,0.0709393006830811,0.04949264264555983,0.10729989794168852,0.24771449168402646,0.5245536670456441,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.4820895344065483
4901,0.20342530870617828,0.010785882204804816,0.054799053311769735,0.4148908058274112,0.316098949949836,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.5561265068688273
4902,0.2079862543689651,0.10682123462631103,0.19906346656991716,0.35761501576887655,0.12851402866593,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.567190605756377
4903,0.28270811178697847,0.242368850445355,0.19125300528091754,0.1573020685370625,0.12636796394968652,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7687592291519508
4904,0.046520054417293906,0.05314066260579887,0.3490108844917641,0.45795430787903624,0.09337409060610696,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.4996746462349564
4905,0.07068427608837925,0.04770479184435802,0.2109930899308486,0.6625604732288788,0.00805736890753536,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.666160574230118
4906,0.20813161929404514,0.20276694923856697,0.03892249675757931,0.1956440660053251,0.3545348687044835,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.5969153193271579
4907,0.3562771262539075,0.12424356482690384,0.17350680303289356,0.05982628776163046,0.2861462181246646,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7727477335484063
4908,0.20649223887710658,0.3000673575943397,0.12517699749776398,0.091077028334312,0.2771863776964778,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7467394528007277
4909,0.1543715675474897,0.053673122733744937,0.6037894456373898,0.08808987522792229,0.10007598885345327,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8533550249110146
4910,0.18769087701892068,0.1820327733306395,0.04202468910643999,0.34882905235922923,0.2394226081847706,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.5110832513624475
4911,0.43429434528752775,0.0225389951831048,0.2990805966489748,0.02925281238574679,0.21483325049464594,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8450468814737689
4912,0.21439893072217628,0.018090768549009605,0.4480273236313138,0.21301498599471977,0.10646799110278057,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7246899128281215
4913,0.0793606703716475,0.038574198264760204,0.27904848240887603,0.35289571560478766,0.25012093334992863,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.5007569297755733
4914,0.053239273609618415,0.2877820230378143,0.3306754040174495,0.16915335737260762,0.15914994196251014,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7377269957344342
4915,0.1536887627435427,0.016746366379896467,0.3553166574675612,0.09895468783889927,0.37529352557010026,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6814586748594463
4916,0.009229017767540594,0.5136232818144274,0.2046783444230564,0.03590834846188511,0.23656100753309042,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8256782960666258
4917,0.20959196351473233,0.4870878418770161,0.16059544268439552,0.04673349091977991,0.09599126100407611,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8971014095565585
4918,0.04966502183311779,0.3044610130284634,0.36108042717276817,0.007216181518528523,0.2775773564471221,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8303715354539
4919,0.19490061881798476,0.2199362354297186,0.12704461125264604,0.4201731338211551,0.03794540067849551,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.557624770037172
4920,0.1588852397484483,0.09865020910601506,0.02884233059989452,0.5863586731153758,0.1272635474302663,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.6432211092012394
4921,0.7045662270928398,0.057442318872058626,0.16931683058962843,0.021815949497565847,0.04685867394790723,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.9507667412775948
4922,0.04650226442957641,0.06738777253562953,0.20853625440163684,0.4137549327632324,0.26381877586992486,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.5316314070880924
4923,0.2258909677551315,0.44280411934358516,0.016525920086445392,0.18278041307454232,0.13199857974029575,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7399863753752848
4924,0.0987338132788214,0.46678679972509124,0.3264884420192571,0.0398160487422204,0.06817489623461001,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.9202943843119973
4925,0.33333529711533133,0.2565441560245957,0.19409737790317547,0.113467221129242,0.10255594782765558,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8265266391843639
4926,0.118352151180269,0.007665442216263789,0.48529733355804544,0.2747844688278896,0.11390060421753226,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6585715606192991
4927,0.4225501200940996,0.18612843776275734,0.2252427640444239,0.11397794738539223,0.0521007307133269,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8555375825163846
4928,0.24357650202014414,0.13211200219626143,0.2780610606030545,0.12373034911535312,0.22252008606518664,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.746071728186931
4929,0.12241424822021223,0.3702240744921934,0.10987655815367971,0.1477708322542881,0.24971428687962655,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7061197445714624
4930,0.014222179122635998,0.6474935278346782,0.17885758943202745,0.14330794658217447,0.01611875702848372,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8472608657947763
4931,0.586450448097992,0.16335025146281681,0.0046574807748544274,0.027846844864625006,0.21769497479971184,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8447784358376712
4932,0.29495556581469107,0.4667718962991034,0.08907407474854591,0.06410205100250278,0.08509641213515691,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8861074950886287
4933,0.02414470371733285,0.5598599070079481,0.2697821289116843,0.10611034148792742,0.040102918875107314,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8704251847021693
4934,0.25203574038523174,0.4353110797659389,0.004349455422401955,0.12189446358103584,0.1864092608453917,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7690362880519798
4935,0.044013831768546424,0.3162176525330386,0.21185123234610045,0.0031616909682381446,0.42475559238407634,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.74831110072193
4936,0.2518848135170372,0.02919106397819968,0.22531872245669773,0.09599460855354346,0.3976107914945219,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6713607794017894
4937,0.023881332946064242,0.36500318927128544,0.16664662580794626,0.26363138148341975,0.18083747049128435,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6305594602504033
4938,0.5283793287922685,0.09530049641667183,0.10881576686059818,0.05558549353996461,0.211918914390497,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.820419396976234
4939,0.11064967077597893,0.23367603343877394,0.16233438361795996,0.4133044779803675,0.08003543418691958,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.5398662786123922
4940,0.3157803811636382,0.3019737670743446,0.15221333959399977,0.03901362506260408,0.19101888710541337,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8492200048225264
4941,0.2063913140413701,0.11522643372066955,0.5294423091426269,0.014115833595933682,0.13482410949939966,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.9069977193565452
4942,0.5022725065744769,0.3905575120857472,0.027894040006341526,0.012660446628885923,0.06661549470454847,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.9483624022141974
4943,0.03604279718916624,0.16603861453272292,0.6802556044304199,0.07977522429041854,0.03788775955727244,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8980564057558582
4944,0.15088779390949023,0.015067562948128348,0.4059858191731067,0.23890756548863,0.18915125848064468,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6504188258258865
4945,0.3612622691625887,0.08727422668763594,0.18593579007233005,0.09313039550044822,0.2723973185769971,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.747488194693862
4946,0.02092442309693801,0.13283710689285932,0.10191250168185932,0.023514655362070196,0.7208113129662731,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.5547340444980892
4947,0.08156364549589037,0.05213392171515622,0.06219950468929132,0.18049411294775333,0.6236088151519088,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.4591278388666913
4948,0.08253007413286066,0.4174068472803481,0.09468927890346059,0.32113276355138637,0.0842410361319443,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6295772684990718
4949,0.07225016722867006,0.28345556819466755,0.3542631654058969,0.13956794704783831,0.1504631521229271,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7723951022419383
4950,0.05945124891589109,0.15642389038035856,0.3594677347413279,0.2578775622109019,0.16677956375152042,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6445386504876764
4951,0.15677828095861124,0.567230231870347,0.02233015176061867,0.0874223792789563,0.1662389561314667,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8153101463888025
4952,0.2551062587228636,0.2851065588250985,0.06851268044920739,0.3561850793863759,0.03508942261645467,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6232838754656985
4953,0.005022998558833687,0.649081488256328,0.22934097896527958,0.054474567899307894,0.06207996632025084,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.9092020475516093
4954,0.13692617510000776,0.24008978011782015,0.06324415129062587,0.4659942858510981,0.09374560764044815,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.5078806211798089
