dataset,dataset_display_name,feature_set,model,level,fold,summary,tn,fp,fn,tp
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,record,3,fold,18,6,7,17
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,subject,3,fold,6,2,2,6
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,record,3,fold,18,6,7,17
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,subject,3,fold,6,2,3,5
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),record,3,fold,18,6,7,17
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),subject,3,fold,6,2,3,5
dataset2,Dataset 2,acoustic_only,Logistic Regression,record,4,fold,19,5,10,14
dataset2,Dataset 2,acoustic_only,Logistic Regression,subject,4,fold,6,2,3,5
dataset2,Dataset 2,acoustic_only,SVM-RBF,record,4,fold,19,5,5,19
dataset2,Dataset 2,acoustic_only,SVM-RBF,subject,4,fold,7,1,1,7
dataset2,Dataset 2,acoustic_only,Random Forest,record,4,fold,17,7,6,18
dataset2,Dataset 2,acoustic_only,Random Forest,subject,4,fold,6,2,2,6
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),record,4,fold,17,7,6,18
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),subject,4,fold,6,2,2,6
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,record,4,fold,20,4,7,17
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,subject,4,fold,7,1,2,6
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,record,4,fold,21,3,5,19
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,subject,4,fold,7,1,1,7
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,record,4,fold,17,7,6,18
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,subject,4,fold,6,2,2,6
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),record,4,fold,17,7,6,18
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),subject,4,fold,6,2,2,6
dataset2,Dataset 2,acoustic_only,Logistic Regression,record,5,fold,19,5,7,17
dataset2,Dataset 2,acoustic_only,Logistic Regression,subject,5,fold,6,2,2,6
dataset2,Dataset 2,acoustic_only,SVM-RBF,record,5,fold,19,5,6,18
dataset2,Dataset 2,acoustic_only,SVM-RBF,subject,5,fold,7,1,1,7
dataset2,Dataset 2,acoustic_only,Random Forest,record,5,fold,20,4,7,17
dataset2,Dataset 2,acoustic_only,Random Forest,subject,5,fold,7,1,2,6
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),record,5,fold,21,3,7,17
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),subject,5,fold,7,1,2,6
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,record,5,fold,19,5,6,18
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,subject,5,fold,6,2,2,6
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,record,5,fold,19,5,7,17
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,subject,5,fold,7,1,2,6
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,record,5,fold,19,5,7,17
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,subject,5,fold,7,1,2,6
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),record,5,fold,20,4,7,17
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),subject,5,fold,8,0,2,6
dataset1,Dataset 1,acoustic_only,Logistic Regression,record,,aggregate,102,90,73,490
dataset1,Dataset 1,acoustic_only,Logistic Regression,subject,,aggregate,33,31,22,166
dataset1,Dataset 1,acoustic_only,Random Forest,record,,aggregate,79,113,27,536
dataset1,Dataset 1,acoustic_only,Random Forest,subject,,aggregate,28,36,7,181
dataset1,Dataset 1,acoustic_only,SVM-RBF,record,,aggregate,105,87,47,516
dataset1,Dataset 1,acoustic_only,SVM-RBF,subject,,aggregate,32,32,14,174
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),record,,aggregate,83,109,17,546
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),subject,,aggregate,28,36,6,182
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,record,,aggregate,104,88,74,489
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,subject,,aggregate,34,30,21,167
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,record,,aggregate,82,110,26,537
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,subject,,aggregate,27,37,9,179
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,record,,aggregate,104,88,48,515
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,subject,,aggregate,32,32,14,174
