feature,category,selected_folds,selection_frequency,mean_abs_l1_coefficient,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant,l1_selected_any,l1_selected_near_constant
mean_7th_delta_delta,Delta / Delta-delta,1,0.2,0.06348204642271854,0.00028836440199808374,252,0,False,False,True,False
tqwt_energy_dec_19,TQWT,1,0.2,0.06206833032147052,0.06864963438808644,252,0,False,False,True,False
tqwt_entropy_shannon_dec_27,TQWT,1,0.2,0.060269409991657065,712.4832392900621,252,0,False,False,True,False
tqwt_minValue_dec_25,TQWT,1,0.2,0.05370824492107967,0.5272004200418894,251,0,False,False,True,False
det_entropy_log_9_coef,Wavelet,1,0.2,0.050191946627635306,29.249980821158275,252,0,False,False,True,False
tqwt_stdValue_dec_25,TQWT,1,0.2,0.049496719430442884,0.2806622414607202,252,0,False,False,True,False
det_entropy_log_1_coef,Wavelet,1,0.2,0.04873404723479764,187.46419599956005,252,0,False,False,True,False
tqwt_kurtosisValue_dec_1,TQWT,1,0.2,0.04702261865178646,2933.0932231279908,252,0,False,False,True,False
tqwt_kurtosisValue_dec_35,TQWT,1,0.2,0.04665931720304761,11.497168524908826,252,0,False,False,True,False
tqwt_kurtosisValue_dec_16,TQWT,1,0.2,0.04609395893300324,1.148412061120188,252,0,False,False,True,False
mean_5th_delta,Delta / Delta-delta,1,0.2,0.04522263475246722,0.0024609748380686773,252,0,False,False,True,False
tqwt_maxValue_dec_5,TQWT,1,0.2,0.043009085941294725,0.03956306555114057,252,0,False,False,True,False
tqwt_meanValue_dec_36,TQWT,1,0.2,0.04186297098968852,0.007196318312881078,252,0,False,False,True,False
det_LT_entropy_shannon_3_coef,Wavelet,1,0.2,0.03940050151558321,0.7992280993454524,252,0,False,False,True,False
tqwt_medianValue_dec_22,TQWT,1,0.2,0.039173640796589096,0.0008950049453173759,251,0,False,False,True,False
tqwt_meanValue_dec_30,TQWT,1,0.2,0.037678934135017425,2.314822788316234e-19,249,0,False,True,True,True
tqwt_skewnessValue_dec_3,TQWT,1,0.2,0.036751666819027536,0.09681189419714974,252,0,False,False,True,False
std_MFCC_12th_coef,MFCC,1,0.2,0.036176569044127194,0.05369579516410517,251,0,False,False,True,False
tqwt_maxValue_dec_11,TQWT,1,0.2,0.03340536117787401,0.05724136723373308,252,0,False,False,True,False
apq11Shimmer,Shimmer,1,0.2,0.03222883165622989,0.028503556830923312,250,0,False,False,True,False
tqwt_medianValue_dec_4,TQWT,1,0.2,0.031223125839525086,4.343657932392675e-06,250,0,False,False,True,False
det_LT_entropy_log_9_coef,Wavelet,1,0.2,0.030240991591090054,29.848637668950882,252,0,False,False,True,False
f2,Formant / Bandwidth,1,0.2,0.027026252512841,158.40476961317108,252,0,False,False,True,False
tqwt_skewnessValue_dec_25,TQWT,1,0.2,0.026680324441164006,0.16733850979797452,252,0,False,False,True,False
tqwt_skewnessValue_dec_11,TQWT,1,0.2,0.02620453037194424,0.10805348853098264,252,0,False,False,True,False
mean_delta_delta_0th,Delta / Delta-delta,1,0.2,0.024574470607073677,0.0006857172709620739,252,0,False,False,True,False
tqwt_medianValue_dec_20,TQWT,1,0.2,0.02455797826865549,0.0006085356711373855,181,0,False,False,True,False
tqwt_minValue_dec_5,TQWT,1,0.2,0.02386581005701663,0.03950061543458402,252,0,False,False,True,False
tqwt_skewnessValue_dec_35,TQWT,1,0.2,0.0237604387627463,0.8513657077666263,252,0,False,False,True,False
tqwt_entropy_shannon_dec_17,TQWT,1,0.2,0.021985627521952184,475.37680090506956,252,0,False,False,True,False
tqwt_meanValue_dec_2,TQWT,1,0.2,0.0207144455282501,3.3302428670843045e-21,251,0,False,True,True,True
tqwt_energy_dec_11,TQWT,1,0.2,0.02060334419677557,0.005671576828616317,252,0,False,False,True,False
tqwt_entropy_log_dec_28,TQWT,1,0.2,0.020432907164844177,2951.1453926890817,252,0,False,False,True,False
mean_MFCC_8th_coef,MFCC,1,0.2,0.019707458677801944,0.8057762858796013,252,0,False,False,True,False
tqwt_entropy_shannon_dec_35,TQWT,1,0.2,0.019016757390430048,3.910448067496541,252,0,False,False,True,False
mean_4th_delta,Delta / Delta-delta,1,0.2,0.015116883593481617,0.0020796972940963637,252,0,False,False,True,False
tqwt_energy_dec_12,TQWT,1,0.2,0.014140690819242196,0.011263559896773849,252,0,False,False,True,False
stdDevPeriodPulses,Other,1,0.2,0.013407179153616422,0.0005330818070701856,249,0,False,False,True,False
tqwt_TKEO_mean_dec_18,TQWT,1,0.2,0.012931560046702659,0.204714503716906,252,0,False,False,True,False
det_LT_entropy_log_1_coef,Wavelet,1,0.2,0.01239825416320414,188.46247531121796,252,0,False,False,True,False
tqwt_skewnessValue_dec_18,TQWT,1,0.2,0.010783055379409379,0.00551526587646374,252,0,False,False,True,False
tqwt_meanValue_dec_13,TQWT,1,0.2,0.01071090456082262,1.5362947138834184e-19,252,0,False,True,True,True
tqwt_TKEO_mean_dec_30,TQWT,1,0.2,0.0106817949488761,0.07053834519685369,252,0,False,False,True,False
tqwt_entropy_shannon_dec_1,TQWT,1,0.2,0.010464681516904897,10.545973478739274,252,0,False,False,True,False
tqwt_medianValue_dec_26,TQWT,1,0.2,0.010263315871436075,0.0017420856701271903,250,0,False,False,True,False
IMF_NSR_entropy,Wavelet,1,0.2,0.009292640492695462,0.02912606145490033,252,0,False,False,True,False
mean_7th_delta,Delta / Delta-delta,1,0.2,0.009285579402717108,0.0019286032744448348,252,0,False,False,True,False
tqwt_minValue_dec_26,TQWT,1,0.2,0.009117741413636277,0.5538892628364362,252,0,False,False,True,False
b2,Formant / Bandwidth,1,0.2,0.008965162621014476,285.8383861835082,252,0,False,False,True,False
tqwt_stdValue_dec_7,TQWT,1,0.2,0.008737085585998556,0.005576135344642032,252,0,False,False,True,False
tqwt_skewnessValue_dec_33,TQWT,1,0.2,0.007097956208137799,0.7399390928329563,252,0,False,False,True,False
tqwt_kurtosisValue_dec_2,TQWT,1,0.2,0.006361888655723451,1343.7286416321817,252,0,False,False,True,False
tqwt_minValue_dec_17,TQWT,1,0.2,0.006104692906355131,0.3437270452153111,252,0,False,False,True,False
tqwt_meanValue_dec_14,TQWT,1,0.2,0.0059259408445847764,2.486242985627415e-19,252,0,False,True,True,True
tqwt_medianValue_dec_31,TQWT,1,0.2,0.005445619979567209,0.0009383105204714493,252,0,False,False,True,False
tqwt_medianValue_dec_3,TQWT,1,0.2,0.0032482400582002067,2.524975158290862e-06,252,0,False,False,True,False
tqwt_skewnessValue_dec_10,TQWT,1,0.2,0.00310218527900251,0.10140951294896586,252,0,False,False,True,False
b1,Formant / Bandwidth,1,0.2,0.0025202074207138674,202.34083173933368,252,0,False,False,True,False
tqwt_skewnessValue_dec_30,TQWT,1,0.2,0.002231484641099531,0.19366792697456126,252,0,False,False,True,False
tqwt_skewnessValue_dec_32,TQWT,1,0.2,0.001739576968244405,0.7317526603651772,252,0,False,False,True,False
tqwt_energy_dec_33,TQWT,1,0.2,0.00035131950637534243,0.006074726430650559,251,0,False,False,True,False
mean_MFCC_3rd_coef,MFCC,1,0.2,0.00030765336791000006,1.5857431583700954,251,0,False,False,True,False
PPE,Nonlinear,0,0.0,0.0,0.11975199146281733,252,0,False,False,False,False
RPDE,Nonlinear,0,0.0,0.0,0.126949011671002,252,0,False,False,False,False
numPulses,Other,0,0.0,0.0,93.04319146311943,225,0,False,False,False,False
numPeriodsPulses,Other,0,0.0,0.0,93.21443248710368,223,0,False,False,False,False
meanPeriodPulses,Other,0,0.0,0.0,0.0016966578228028895,252,0,False,False,False,False
locPctJitter,Jitter,0,0.0,0.0,0.002380158862540476,226,0,False,False,False,False
locAbsJitter,Jitter,0,0.0,0.0,2.070737785457488e-05,244,0,False,False,False,False
rapJitter,Jitter,0,0.0,0.0,0.000883847547080086,184,0,False,False,False,False
ppq5Jitter,Jitter,0,0.0,0.0,0.0015634032560503527,208,0,False,False,False,False
ddpJitter,Jitter,0,0.0,0.0,0.0026516360851890825,212,0,False,False,False,False
locShimmer,Shimmer,0,0.0,0.0,0.037521988662524014,250,0,False,False,False,False
locDbShimmer,Shimmer,0,0.0,0.0,0.33375170794214315,244,0,False,False,False,False
apq3Shimmer,Shimmer,0,0.0,0.0,0.019393021305727412,251,0,False,False,False,False
apq5Shimmer,Shimmer,0,0.0,0.0,0.023697910591854162,250,0,False,False,False,False
ddaShimmer,Shimmer,0,0.0,0.0,0.05817878432096385,252,0,False,False,False,False
meanAutoCorrHarmonicity,HNR / Harmonicity,0,0.0,0.0,0.05936149591717223,252,0,False,False,False,False
meanNoiseToHarmHarmonicity,HNR / Harmonicity,0,0.0,0.0,0.09628323015426693,252,0,False,False,False,False
meanHarmToNoiseHarmonicity,HNR / Harmonicity,0,0.0,0.0,5.202318210405596,252,0,False,False,False,False
minIntensity,Intensity,0,0.0,0.0,8.465378932466471,252,0,False,False,False,False
maxIntensity,Intensity,0,0.0,0.0,6.276421175841767,252,0,False,False,False,False
meanIntensity,Intensity,0,0.0,0.0,6.877177102762645,252,0,False,False,False,False
f1,Formant / Bandwidth,0,0.0,0.0,128.72116943013583,252,0,False,False,False,False
